"Co","U:0","U:1","U:2","alpha.water","k","nut","omega","p","p_rgh","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","Points:0","Points:1","Points:2"
0.3051,0.03791,0.22957,-0.14613,0.99995,0.011773,9.2359e-05,127.69,610.97,855.97,0,0,0,0,0.03504,0,0.024982
0.57635,0.036814,0.20544,-0.20215,0.99976,0.0080963,4.8726e-05,186.38,635.04,855.5,0,0,0,0,0.030085,0,0.022486
0.38472,0.012567,0.12556,-0.19326,0.99968,0.0089158,6.6435e-05,148.42,657.88,853.39,0,0,0,0,0.030714,0,0.019952
0.2125,-0.00256,0.10452,-0.16484,0.99998,0.011723,0.00010271,114.21,656.84,852.05,0,0,0,0,0.035069,0,0.019909
0.2125,-0.00256,0.10452,-0.16484,0.99998,0.011723,0.00010271,114.21,656.84,852.05,0,0,0,0,0.035069,0,0.019909
0.40691,-0.0020203,0.080508,-0.20431,0.99946,0.0082611,6.0945e-05,146.37,678.05,848.79,0,0,0,0,0.030104,0,0.017427
0.27083,-0.014662,0.0099613,-0.18843,0.99973,0.0090099,7.9844e-05,118.86,704.77,849.82,0,0,0,0,0.030762,0,0.014813
0.2125,-0.00256,0.10452,-0.16484,0.99998,0.011723,0.00010271,114.21,656.84,852.05,0,0,0,0,0.035069,0,0.019908
0.17584,-0.022962,-0.0085765,-0.16681,1,0.0116,0.0001158,100.96,705.09,849.63,0,0,0,0,0.035152,0,0.01473
0.17584,-0.022962,-0.0085765,-0.16681,1,0.0116,0.0001158,100.96,705.09,849.63,0,0,0,0,0.035152,0,0.01473
0.17584,-0.022962,-0.0085764,-0.16681,1,0.0116,0.0001158,100.96,705.09,849.63,0,0,0,0,0.035152,0,0.01473
0.30477,-0.021297,-0.031143,-0.18299,0.9997,0.0084146,7.6367e-05,114.32,729.37,848.89,0,0,0,0,0.030195,0,0.0122
0.25271,-0.015273,-0.088115,-0.16162,0.99992,0.0090903,9.2839e-05,99.564,759.33,854.03,0,0,0,0,0.030912,0,0.0094743
0.27083,-0.014662,0.0099613,-0.18843,0.99973,0.0090099,7.9844e-05,118.86,704.77,849.82,0,0,0,0,0.030762,0,0.014813
0.17584,-0.022962,-0.0085765,-0.16681,1,0.0116,0.0001158,100.96,705.09,849.63,0,0,0,0,0.035152,0,0.01473
0.19312,-0.01612,-0.10257,-0.14709,1,0.010918,0.0001172,93.442,759.98,852.73,0,0,0,0,0.035341,0,0.0094678
0.19311,-0.01612,-0.10257,-0.14709,1,0.010918,0.0001172,93.442,759.98,852.73,0,0,0,0,0.035341,0,0.0094678
0.19311,-0.01612,-0.10257,-0.14709,1,0.010918,0.0001172,93.442,759.98,852.73,0,0,0,0,0.035341,0,0.0094678
0.4568,0.018193,-0.24963,0.017696,0.99999,0.01485,4.5627e-05,253.06,432.48,896.28,0,0,0,0,0.022578,0,0.047578
0.34874,0.023952,-0.10261,0.0051474,0.99999,0.015572,4.2324e-05,267.47,446.01,892.73,0,0,0,0,0.022728,0,0.04524
1.6265,0.10448,0.33882,-0.12113,0.99949,0.009213,2.7146e-05,345.39,498.88,889.15,0,0,0,0,0.023769,0,0.040007
1.6007,0.09724,0.31639,-0.12727,0.99954,0.0091475,2.6481e-05,351.28,497.2,889.11,0,0,0,0,0.023245,0,0.040026
1.7256,0.10749,0.33031,-0.11608,0.99927,0.0082057,2.2786e-05,364.85,507.34,888.52,0,0,0,0,0.023815,0,0.038833
