"Co","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","p","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
17.939,-0.0022884,-2.3199e-05,0.0093268,0,0,0,4.543e-05,6.0412e-05,0,1135.4,-0.010399,-0.0088862,1.0771e-05,8.6928e-08,-3.4049e-05,0.98807,0.066542,0.02458,0,0.079557
18.551,-0.002503,-2.368e-05,0.0099397,0,0,0,4.9067e-05,6.3479e-05,0,1074.9,-0.01041,-0.008999,1.1277e-05,8.6478e-08,-3.5528e-05,1.0532,0.06672,0.024548,0,0.079733
24.605,-0.0026905,-2.124e-05,0.01088,0,0,0,3.7736e-05,5.465e-05,0,1336.1,-0.010456,-0.0092936,1.224e-05,8.4157e-08,-4.329e-05,0.85019,0.067256,0.02444,0,0.080258
28.82,-0.0024821,-1.5761e-05,0.01009,0,0,0,1.6748e-05,3.8813e-05,0,2324.1,-0.010512,-0.009535,1.4043e-05,8.2496e-08,-5.2621e-05,0.43214,0.067783,0.024323,0,0.080772
28.11,-0.0028044,-1.5267e-05,0.010451,0,0,0,1.8153e-05,4.1241e-05,0,2335.9,-0.010543,-0.0097512,1.5906e-05,8.047e-08,-5.4288e-05,0.44784,0.068062,0.024256,0,0.081042
27.499,-0.0030816,-1.4841e-05,0.010761,0,0,0,1.9362e-05,4.3329e-05,0,2346.2,-0.010571,-0.0099372,1.7509e-05,7.8727e-08,-5.5722e-05,0.46134,0.068302,0.024198,0,0.081275
28.917,-0.0041554,-1.7218e-05,0.012728,0,0,0,3.2471e-05,5.3834e-05,0,1484.7,-0.010629,-0.010293,2.0419e-05,7.334e-08,-5.2742e-05,0.73558,0.068813,0.024065,2.068e-25,0.081769
29.859,-0.0049658,-1.894e-05,0.014368,0,0,0,4.4906e-05,6.3365e-05,0,1186.2,-0.01066,-0.010292,2.0987e-05,7.1767e-08,-5.3307e-05,0.97434,0.069192,0.023959,0,0.082133
30.174,-0.0052365,-1.9515e-05,0.014916,0,0,0,4.9059e-05,6.6548e-05,0,1086.4,-0.01067,-0.010292,2.1176e-05,7.1242e-08,-5.3495e-05,1.0541,0.069319,0.023924,0,0.082254
38.042,-0.0053645,-1.7889e-05,0.015579,0,0,0,4.2431e-05,5.8482e-05,0,1223.2,-0.010726,-0.010398,2.1524e-05,6.8029e-08,-5.9648e-05,0.93895,0.069818,0.023774,0,0.082731
43.181,-0.004763,-1.336e-05,0.01405,0,0,0,2.3354e-05,3.9606e-05,0,1975.8,-0.010799,-0.010605,2.3129e-05,6.4864e-08,-6.817e-05,0.54785,0.070313,0.023615,0,0.083199
40.862,-0.0051836,-1.2901e-05,0.014217,0,0,0,2.5541e-05,4.1102e-05,0,1925.4,-0.010841,-0.010668,2.5097e-05,6.1841e-08,-6.7222e-05,0.5865,0.0706,0.023518,0,0.08347
39.239,-0.0054779,-1.258e-05,0.014334,0,0,0,2.7072e-05,4.2149e-05,0,1890.2,-0.010869,-0.010711,2.6474e-05,5.9725e-08,-6.6559e-05,0.61355,0.070802,0.023451,0,0.083659
37.43,-0.0072366,-1.4785e-05,0.016995,0,0,0,4.4546e-05,5.8003e-05,0,1114.5,-0.010918,-0.010727,2.8205e-05,5.4256e-08,-6.1041e-05,1.0028,0.071285,0.023279,-2.068e-25,0.084111
43.26,-0.0074388,-1.4062e-05,0.017408,0,0,0,4.2877e-05,5.5981e-05,0,1119.6,-0.010954,-0.010731,2.8182e-05,5.1412e-08,-6.3561e-05,0.98145,0.071631,0.02315,0,0.084433
45.48,-0.0075157,-1.3787e-05,0.017565,0,0,0,4.2241e-05,5.5212e-05,0,1121.6,-0.010968,-0.010732,2.8173e-05,5.0329e-08,-6.452e-05,0.97333,0.071763,0.023101,0,0.084555
50.652,-0.0065675,-1.0264e-05,0.015498,0,0,0,2.6611e-05,3.9693e-05,0,1694.3,-0.011037,-0.010805,2.9616e-05,4.6346e-08,-6.9853e-05,0.62676,0.072236,0.022915,0,0.084991
48.866,-0.0068169,-1.0192e-05,0.015745,0,0,0,2.7862e-05,4.073e-05,0,1657,-0.011051,-0.010828,3.0054e-05,4.5395e-08,-6.974e-05,0.65504,0.072352,0.022868,0,0.085097
43.45,-0.0075734,-9.9752e-06,0.016493,0,0,0,3.1657e-05,4.3876e-05,0,1543.8,-0.011093,-0.010899,3.1382e-05,4.2511e-08,-6.9394e-05,0.74084,0.072705,0.022724,0,0.085418
47.542,-0.0082985,-9.1675e-06,0.017368,0,0,0,3.1807e-05,4.3462e-05,0,1259.2,-0.011155,-0.011014,3.2615e-05,3.5608e-08,-6.7495e-05,0.7901,0.073169,0.022527,0,0.085839
51.972,-0.0073599,-6.5353e-06,0.015159,0,0,0,2.2472e-05,3.4479e-05,0,1773.2,-0.011213,-0.011061,3.3758e-05,3.0292e-08,-6.9942e-05,0.55969,0.073631,0.022324,0,0.086253
44.915,-0.0084631,-6.4683e-06,0.016169,0,0,0,2.8022e-05,3.9671e-05,0,1558.6,-0.011253,-0.01112,3.4687e-05,2.7563e-08,-6.8374e-05,0.6976,0.074088,0.022113,0,0.086659
48.68,-0.0092043,-5.7109e-06,0.016971,0,0,0,2.8689e-05,4.0143e-05,0,1223.9,-0.011306,-0.011221,3.5319e-05,2.1813e-08,-6.5204e-05,0.75969,0.074543,0.021897,0,0.08706
49.978,-0.0088724,-5.0811e-06,0.016294,0,0,0,2.6402e-05,3.7966e-05,0,1358.5,-0.011321,-0.011226,3.5539e-05,2.0142e-08,-6.5458e-05,0.69878,0.074678,0.021831,0,0.087177
53.03,-0.0080924,-3.6008e-06,0.014701,0,0,0,2.1028e-05,3.2849e-05,0,1674.9,-0.011355,-0.011235,3.6056e-05,1.6213e-08,-6.6055e-05,0.5556,0.074996,0.021675,0,0.087454
