"Co","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","p","U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
40.344,0,0,0,9.3226e-06,9.4178e-06,0,1426.2,-0.01373,4.6976e-05,1.0754e-05,2.8956e-05,0.42354,-0.013491,-0.011729,-0.002662,-0.0072899,0.036177,0.012842,0,0.013551
43.874,0,0,0,1.1217e-05,1.1435e-05,0,1038.6,-0.013685,4.6699e-05,1.0579e-05,3.0985e-05,0.5125,-0.013445,-0.013218,-0.0029478,-0.0084295,0.036624,0.013222,8.2718e-25,0.013785
44.947,0,0,0,9.1337e-06,9.4972e-06,0,1301.1,-0.013669,4.8143e-05,1.0506e-05,2.9634e-05,0.41254,-0.013427,-0.01192,-0.0026214,-0.0076338,0.037068,0.013597,-8.2718e-25,0.014023
42.604,0,0,0,7.856e-06,8.3613e-06,0,1514,-0.013643,4.9364e-05,1.0483e-05,3.1576e-05,0.35279,-0.0134,-0.011337,-0.0024103,-0.0074393,0.03751,0.013966,0,0.014266
40.51,0,0,0,6.9623e-06,7.5018e-06,0,1716.9,-0.013614,4.9297e-05,1.0276e-05,3.1768e-05,0.31222,-0.013371,-0.010626,-0.0022276,-0.0071483,0.03795,0.01433,0,0.014515
38.438,0,0,0,5.7851e-06,6.3459e-06,0,1940.3,-0.013582,4.8317e-05,1.0027e-05,3.1677e-05,0.26755,-0.013341,-0.0097397,-0.0020368,-0.0067559,0.03839,0.014687,0,0.014771
37.932,0,0,0,5.4608e-06,6.0449e-06,0,2221,-0.01354,4.5624e-05,1.0074e-05,3.2601e-05,0.2438,-0.013302,-0.0087721,-0.0019195,-0.0063488,0.038829,0.01504,-4.1359e-25,0.015032
34.201,0,0,0,6.463e-06,7.1129e-06,0,1719.8,-0.013509,4.0484e-05,9.1843e-06,2.8556e-05,0.32671,-0.013273,-0.0090878,-0.0020861,-0.0069296,0.039268,0.015389,0,0.015298
35.789,0,0,0,7.7324e-06,8.434e-06,0,1173.3,-0.013481,3.7652e-05,8.8763e-06,2.8656e-05,0.40319,-0.013245,-0.0099065,-0.0023424,-0.0077335,0.039676,0.015708,0,0.015553
35.898,0,0,0,7.8265e-06,8.5315e-06,0,1132.5,-0.013478,3.7438e-05,8.8339e-06,2.866e-05,0.40888,-0.013242,-0.0099672,-0.0023571,-0.0077928,0.039706,0.015732,0,0.015572
36.054,0,0,0,6.2359e-06,6.7243e-06,0,1315.8,-0.013458,3.6011e-05,8.6778e-06,2.6333e-05,0.33704,-0.013225,-0.0087046,-0.0021468,-0.0069117,0.040144,0.016069,0,0.015851
35.678,0,0,0,6.1088e-06,6.5639e-06,0,1332.2,-0.013454,3.5795e-05,8.6614e-06,2.6404e-05,0.33163,-0.013222,-0.008613,-0.0021297,-0.0068732,0.040207,0.016117,0,0.015892
33.337,0,0,0,5.3498e-06,5.5826e-06,0,1430.2,-0.013421,3.4491e-05,8.2893e-06,2.6851e-05,0.29932,-0.013194,-0.0080661,-0.0019628,-0.0066468,0.040581,0.016402,0,0.016135
31.655,0,0,0,4.8089e-06,4.8718e-06,0,1492,-0.013399,3.2433e-05,8.0894e-06,2.6102e-05,0.277,-0.013175,-0.0074217,-0.0018763,-0.0063387,0.041018,0.016729,0,0.016423
29.968,0,0,0,4.2817e-06,4.1819e-06,0,1526.2,-0.013398,3.0416e-05,8.1464e-06,2.5386e-05,0.25905,-0.013172,-0.0068828,-0.0018677,-0.0060872,0.041392,0.017004,0,0.016677
29.675,0,0,0,4.1947e-06,4.0639e-06,0,1531.9,-0.013395,3.0081e-05,8.1105e-06,2.5275e-05,0.25608,-0.013169,-0.0067938,-0.0018557,-0.0060468,0.041454,0.01705,0,0.016719
29.483,0,0,0,4.1481e-06,3.9963e-06,0,1535.1,-0.013393,2.9802e-05,8.0797e-06,2.5188e-05,0.25428,-0.013167,-0.0067264,-0.0018469,-0.0060145,0.041515,0.017094,0,0.01676
28.278,0,0,0,3.8757e-06,3.5746e-06,0,1554.9,-0.013366,2.8122e-05,7.6231e-06,2.4763e-05,0.24364,-0.013145,-0.0063247,-0.0017318,-0.0058367,0.04189,0.017366,-4.1359e-25,0.017018
27.103,0,0,0,3.5888e-06,3.1544e-06,0,1565.2,-0.013371,2.6439e-05,7.6858e-06,2.4144e-05,0.2341,-0.013146,-0.0059365,-0.0017401,-0.0056732,0.042232,0.017612,0,0.017257
26.78,0,0,0,3.5153e-06,3.0396e-06,0,1568,-0.013369,2.5996e-05,7.6308e-06,2.4007e-05,0.23165,-0.013143,-0.0058354,-0.0017261,-0.0056348,0.042325,0.017678,0,0.017322
26.576,0,0,0,3.4748e-06,2.9681e-06,0,1564.9,-0.013367,2.5598e-05,7.5772e-06,2.3872e-05,0.2304,-0.013141,-0.0057524,-0.0017156,-0.005602,0.042424,0.017747,0,0.017393
25.912,0,0,0,3.3637e-06,2.7333e-06,0,1554.2,-0.013346,2.4333e-05,7.1375e-06,2.3589e-05,0.22706,-0.013123,-0.0054952,-0.0016217,-0.0055264,0.04276,0.017982,0,0.017634
25.148,0,0,0,3.2393e-06,2.4941e-06,0,1537.9,-0.013356,2.2859e-05,7.184e-06,2.3189e-05,0.22428,-0.013128,-0.0052288,-0.0016411,-0.005447,0.043076,0.018199,0,0.017863
24.872,0,0,0,3.2026e-06,2.4073e-06,0,1531.8,-0.013355,2.2338e-05,7.1044e-06,2.3103e-05,0.22358,-0.013126,-0.005138,-0.0016264,-0.0054307,0.043196,0.018281,0,0.01795
24.777,0,0,0,3.1929e-06,2.3557e-06,0,1519.3,-0.013354,2.1904e-05,7.0309e-06,2.3047e-05,0.22408,-0.013124,-0.0050608,-0.0016161,-0.0054284,0.043332,0.018374,0,0.01805
24.65,0,0,0,3.2094e-06,2.2617e-06,0,1492.1,-0.013338,2.1085e-05,6.6205e-06,2.3167e-05,0.22652,-0.013109,-0.0049278,-0.0015358,-0.0054758,0.043632,0.018577,0,0.018271
24.173,0,0,0,3.2251e-06,2.1533e-06,0,1447.7,-0.013351,1.9873e-05,6.64e-06,2.2856e-05,0.2307,-0.013115,-0.0047395,-0.0015635,-0.0054635,0.043945,0.018784,0,0.018505
24.017,0,0,0,3.2461e-06,2.118e-06,0,1430.2,-0.013351,1.9447e-05,6.5493e-06,2.2829e-05,0.23289,-0.013114,-0.0046796,-0.0015517,-0.0054794,0.044068,0.018866,0,0.018598
24.556,0,0,0,3.4957e-06,2.1593e-06,0,1315.5,-0.013353,1.8687e-05,6.1929e-06,2.2775e-05,0.25243,-0.013111,-0.0046951,-0.0015302,-0.0055995,0.044506,0.019149,0,0.018931
24.368,0,0,0,3.5882e-06,2.1988e-06,0,1290.8,-0.013354,1.8715e-05,6.0997e-06,2.2692e-05,0.2586,-0.013111,-0.0047391,-0.001521,-0.0056646,0.044565,0.019187,0,0.018977
23.29,0,0,0,4.2445e-06,2.4876e-06,0,1132.1,-0.013346,1.9091e-05,5.2529e-06,2.246e-05,0.30044,-0.013103,-0.0050775,-0.0013961,-0.0061615,0.044944,0.019428,0,0.019269
21.047,0,0,0,3.6258e-06,2.0298e-06,0,1719.9,-0.013348,1.8212e-05,5.2293e-06,2.4236e-05,0.24542,-0.0131,-0.0044415,-0.0011829,-0.0056078,0.045382,0.019702,0,0.019611
21.191,0,0,0,2.3906e-06,1.2557e-06,0,2092.9,-0.013375,1.7535e-05,5.7641e-06,2.2049e-05,0.17159,-0.013122,-0.0035314,-0.0011481,-0.0046056,0.045709,0.0199,0,0.019871
21.291,0,0,0,1.9864e-06,1.0008e-06,0,2221,-0.013379,1.7379e-05,5.857e-06,2.1422e-05,0.14691,-0.013125,-0.003238,-0.0011154,-0.0042889,0.045821,0.019968,0,0.01996
