"Co","U:0","U:1","U:2","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
20.636,0.0028929,0.00012899,0.007372,1.3032e-05,0,1412.2,-0.010002,-3.8949e-06,-5.2024e-07,-4.0732e-05,0.47018,0.032921,0.017616,0,0.0092618
25.925,0.00438,0.00012824,0.0087009,1.3928e-05,0,1409,-0.010047,-1.0741e-05,-5.1647e-07,-4.5536e-05,0.48533,0.033128,0.017762,0,0.0094097
31.702,0.0060044,0.00012743,0.010153,1.4907e-05,0,1405.6,-0.010095,-1.822e-05,-5.1235e-07,-5.0783e-05,0.50188,0.033355,0.01792,0,0.0095712
37.215,0.0074731,0.00012486,0.011396,1.5501e-05,0,1396.8,-0.010165,-2.521e-05,-5.0199e-07,-5.553e-05,0.51432,0.033605,0.018094,0,0.0097522
41.255,0.0085494,0.00012297,0.012307,1.5937e-05,0,1390.4,-0.010215,-3.0333e-05,-4.944e-07,-5.9009e-05,0.52343,0.033789,0.018221,0,0.0098848
43.527,0.0095647,0.00012002,0.01291,1.5705e-05,0,1375.4,-0.010265,-3.5505e-05,-4.8167e-07,-5.9863e-05,0.52285,0.033976,0.018348,0,0.010022
46.528,0.010906,0.00011613,0.013707,1.5399e-05,0,1355.5,-0.01033,-4.2336e-05,-4.6487e-07,-6.099e-05,0.52207,0.034224,0.018517,0,0.010203
51.218,0.01183,0.00010792,0.014113,1.5768e-05,0,1301.2,-0.010437,-4.766e-05,-4.2737e-07,-5.9877e-05,0.53904,0.034659,0.018805,0,0.01053
49.978,0.012108,0.00010165,0.013674,1.4691e-05,0,1245.1,-0.010477,-4.9242e-05,-3.9555e-07,-5.5426e-05,0.53212,0.034907,0.018967,0,0.010718
49.032,0.01232,9.6875e-05,0.013339,1.3869e-05,0,1202.4,-0.010508,-5.0448e-05,-3.7129e-07,-5.2033e-05,0.52683,0.035096,0.01909,0,0.010861
43.1,0.012097,8.5231e-05,0.011917,1.2232e-05,0,1038.5,-0.01055,-4.8718e-05,-3.0808e-07,-4.0354e-05,0.53205,0.035534,0.019371,0,0.011197
38.31,0.010324,6.4082e-05,0.0098218,9.4016e-06,0,1391.8,-0.010571,-4.6063e-05,-2.454e-07,-3.4457e-05,0.43152,0.035824,0.019552,0,0.011423
35.846,0.0094118,5.3199e-05,0.0087435,7.9453e-06,0,1573.5,-0.010581,-4.4697e-05,-2.1314e-07,-3.1423e-05,0.37979,0.035973,0.019645,-1.034e-25,0.01154
25.111,0.0061361,2.6831e-05,0.0050884,3.4066e-06,0,2023.7,-0.010583,-3.7571e-05,-1.3683e-07,-1.9177e-05,0.19565,0.036413,0.019914,-5.1699e-26,0.011889
24.002,0.0059005,2.5017e-05,0.0048688,3.1648e-06,0,1990,-0.010582,-3.5957e-05,-1.271e-07,-1.8048e-05,0.18828,0.036467,0.019946,0,0.011932
15.985,0.0041988,1.1915e-05,0.0032821,1.4185e-06,0,1746.9,-0.010579,-2.4295e-05,-5.6845e-08,-9.8922e-06,0.13506,0.036854,0.020177,0,0.012242
10.236,0.0024654,-2.6451e-06,0.0018314,5.2265e-07,0,1489.2,-0.010574,-1.3476e-05,1.1735e-08,-4.0558e-06,0.087891,0.037296,0.020436,0,0.0126
6.1593,0.0015589,-1.2498e-05,0.0011508,2.5878e-07,0,1273.4,-0.010565,-8.283e-06,4.8969e-08,-1.2047e-06,0.062375,0.037621,0.02062,1.034e-25,0.012868
