"Co","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","p","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
71.761,0.016791,-0.016759,0.00056717,0,0,0,2.5808e-05,2.5969e-05,0,1395,0.011337,0.011356,-7.0792e-05,6.896e-05,-2.2489e-06,0.66538,0.02961,0.019563,-0.054812,0.025
71.37,0.01669,-0.016694,0.00057627,0,0,0,2.5635e-05,2.5804e-05,0,1398.8,0.011341,0.01136,-7.0435e-05,6.885e-05,-2.2712e-06,0.6623,0.030052,0.01925,-0.0545,0.025
71.345,0.016693,-0.016686,0.00059182,0,0,0,2.5605e-05,2.5784e-05,0,1394.9,0.011345,0.011364,-7.038e-05,6.879e-05,-2.338e-06,0.66274,0.030494,0.018938,-0.054187,0.025
71.352,0.016689,-0.016638,0.00061531,0,0,0,2.5541e-05,2.5728e-05,0,1391.1,0.011349,0.011368,-7.0333e-05,6.8395e-05,-2.4509e-06,0.66294,0.030936,0.018625,-0.053875,0.025
70.983,0.016596,-0.016551,0.00062861,0,0,0,2.5328e-05,2.5521e-05,0,1394.9,0.011354,0.011374,-6.9997e-05,6.8075e-05,-2.5045e-06,0.65909,0.031378,0.018313,-0.053562,0.025
70.587,0.016494,-0.016484,0.00063862,0,0,0,2.5146e-05,2.5349e-05,0,1398.7,0.011358,0.011377,-6.9634e-05,6.7952e-05,-2.5312e-06,0.65589,0.03182,0.018,-0.05325,0.025
70.552,0.016495,-0.016473,0.00065492,0,0,0,2.5111e-05,2.5322e-05,0,1394.9,0.011362,0.011381,-6.9571e-05,6.7883e-05,-2.6007e-06,0.65624,0.032262,0.017688,-0.052937,0.025
70.548,0.016488,-0.016423,0.00067878,0,0,0,2.5043e-05,2.5262e-05,0,1391,0.011366,0.011385,-6.9515e-05,6.7478e-05,-2.7141e-06,0.65638,0.032704,0.017375,-0.052625,0.025
70.168,0.016392,-0.016333,0.00069228,0,0,0,2.4827e-05,2.5051e-05,0,1394.9,0.011371,0.01139,-6.9168e-05,6.7149e-05,-2.769e-06,0.65243,0.033146,0.017063,-0.052312,0.025
69.759,0.016286,-0.016263,0.00070254,0,0,0,2.4631e-05,2.4867e-05,0,1398.9,0.011374,0.011394,-6.8794e-05,6.7016e-05,-2.7979e-06,0.64902,0.033588,0.01675,-0.052,0.025
69.718,0.016285,-0.01625,0.00071909,0,0,0,2.4595e-05,2.4839e-05,0,1395,0.011378,0.011398,-6.8722e-05,6.6939e-05,-2.8683e-06,0.64937,0.03403,0.016438,-0.051687,0.025
69.709,0.016276,-0.016198,0.00074333,0,0,0,2.4528e-05,2.4782e-05,0,1391,0.011382,0.011402,-6.866e-05,6.6523e-05,-2.9827e-06,0.64952,0.034471,0.016125,-0.051375,0.025
69.32,0.016179,-0.016106,0.00075688,0,0,0,2.4307e-05,2.4568e-05,0,1394.7,0.011387,0.011406,-6.8304e-05,6.6177e-05,-3.0381e-06,0.64552,0.034913,0.015813,-0.051062,0.025
68.903,0.016072,-0.016032,0.00076748,0,0,0,2.41e-05,2.4369e-05,0,1398.4,0.01139,0.01141,-6.7917e-05,6.6023e-05,-3.0687e-06,0.64202,0.035355,0.0155,-0.05075,0.025
68.848,0.016068,-0.016017,0.00078466,0,0,0,2.4054e-05,2.4333e-05,0,1394.5,0.011393,0.011413,-6.7831e-05,6.5932e-05,-3.141e-06,0.6422,0.035797,0.015188,-0.050437,0.025
68.829,0.016056,-0.015961,0.00080975,0,0,0,2.3974e-05,2.4268e-05,0,1390.6,0.011397,0.011417,-6.7756e-05,6.5506e-05,-3.2581e-06,0.64217,0.036239,0.014875,-0.050125,0.025
68.429,0.015957,-0.015867,0.00082376,0,0,0,2.3753e-05,2.4053e-05,0,1394.5,0.011401,0.011421,-6.7394e-05,6.5156e-05,-3.3161e-06,0.6381,0.036681,0.014563,-0.049812,0.025
68.004,0.015848,-0.015791,0.00083444,0,0,0,2.3541e-05,2.3846e-05,0,1398.4,0.011404,0.011424,-6.7002e-05,6.4992e-05,-3.3479e-06,0.63447,0.037123,0.01425,-0.0495,0.025
67.941,0.015841,-0.015772,0.00085162,0,0,0,2.349e-05,2.3802e-05,0,1394.4,0.011407,0.011428,-6.6908e-05,6.4891e-05,-3.42e-06,0.63455,0.037565,0.013938,-0.049187,0.025
