# y+ ()       
# Time        	patch         	min           	max           	average       
45.5          	bottom	1.804642e-02	4.149325e+02	1.577553e+02
45.5          	frontAndBack	1.778344e-01	2.299513e+02	6.476752e+01
45.5          	obstacle	2.065415e-02	9.003353e+01	3.836281e+01
46            	bottom	7.509944e-03	4.153365e+02	1.577449e+02
46            	frontAndBack	1.918889e-01	2.314155e+02	6.478337e+01
46            	obstacle	8.595206e-03	8.998474e+01	3.837059e+01
46.5          	bottom	1.741903e-02	4.170186e+02	1.577264e+02
46.5          	frontAndBack	2.875087e-01	2.280264e+02	6.477070e+01
46.5          	obstacle	1.993571e-02	9.001406e+01	3.843005e+01
47            	bottom	2.825455e-02	4.163215e+02	1.577139e+02
47            	frontAndBack	1.760286e-01	2.266660e+02	6.473057e+01
47            	obstacle	3.233763e-02	9.012743e+01	3.840254e+01
47.5          	bottom	3.205706e-02	4.148135e+02	1.576922e+02
47.5          	frontAndBack	2.490622e-01	2.339547e+02	6.472415e+01
47.5          	obstacle	3.668971e-02	9.010367e+01	3.840110e+01
48            	bottom	2.640599e-02	4.149795e+02	1.577211e+02
48            	frontAndBack	2.241576e-01	2.314515e+02	6.472267e+01
48            	obstacle	3.022193e-02	9.031503e+01	3.847906e+01
48.5          	bottom	4.850241e-02	4.148104e+02	1.578009e+02
48.5          	frontAndBack	2.985969e-01	2.294389e+02	6.471447e+01
48.5          	obstacle	5.551082e-02	9.045652e+01	3.847287e+01
49            	bottom	1.079342e-02	4.169152e+02	1.577669e+02
49            	frontAndBack	2.075075e-01	2.281987e+02	6.474090e+01
49            	obstacle	1.235311e-02	9.041862e+01	3.846060e+01
49.5          	bottom	3.521668e-02	4.165565e+02	1.577135e+02
49.5          	frontAndBack	1.994306e-01	2.288998e+02	6.474105e+01
49.5          	obstacle	4.030584e-02	9.009759e+01	3.842314e+01
50            	bottom	2.525463e-02	4.161737e+02	1.577534e+02
50            	frontAndBack	2.243547e-01	2.312961e+02	6.481020e+01
50            	obstacle	2.890375e-02	9.011558e+01	3.836110e+01
50.5          	bottom	2.403012e-02	4.160648e+02	1.577242e+02
50.5          	frontAndBack	2.175724e-01	2.275415e+02	6.479812e+01
50.5          	obstacle	2.750271e-02	9.019959e+01	3.839575e+01
51            	bottom	5.033468e-02	4.151024e+02	1.576657e+02
51            	frontAndBack	1.710124e-01	2.284052e+02	6.475299e+01
51            	obstacle	5.760827e-02	9.015534e+01	3.846150e+01
51.5          	bottom	1.220778e-02	4.142408e+02	1.577273e+02
51.5          	frontAndBack	2.853740e-01	2.340421e+02	6.476871e+01
51.5          	obstacle	1.397153e-02	9.020389e+01	3.842597e+01
52            	bottom	1.947678e-02	4.148595e+02	1.578055e+02
52            	frontAndBack	2.010137e-01	2.305430e+02	6.476608e+01
52            	obstacle	2.229110e-02	9.054997e+01	3.843866e+01
52.5          	bottom	2.284210e-02	4.167366e+02	1.578758e+02
52.5          	frontAndBack	1.897041e-01	2.275105e+02	6.480360e+01
52.5          	obstacle	2.614227e-02	9.032510e+01	3.847267e+01
53            	bottom	7.530432e-03	4.182382e+02	1.578534e+02
53            	frontAndBack	2.327400e-01	2.292982e+02	6.480139e+01
53            	obstacle	8.618674e-03	8.985359e+01	3.834235e+01
53.5          	bottom	1.558735e-03	4.177161e+02	1.577495e+02
53.5          	frontAndBack	1.941646e-01	2.317313e+02	6.482787e+01
53.5          	obstacle	1.783952e-03	9.002327e+01	3.830063e+01
54            	bottom	3.754027e-02	4.169385e+02	1.576673e+02
54            	frontAndBack	1.883077e-01	2.282031e+02	6.482220e+01
54            	obstacle	4.296447e-02	8.980184e+01	3.837012e+01
54.5          	bottom	3.340582e-02	4.151227e+02	1.577257e+02
54.5          	frontAndBack	3.043065e-01	2.272751e+02	6.476623e+01
54.5          	obstacle	3.823343e-02	8.971044e+01	3.839697e+01
55            	bottom	2.639343e-02	4.154729e+02	1.577412e+02
55            	frontAndBack	2.163286e-01	2.334666e+02	6.477710e+01
55            	obstacle	3.020672e-02	9.006580e+01	3.838446e+01
55.5          	bottom	3.643470e-02	4.151556e+02	1.576897e+02
55.5          	frontAndBack	3.106868e-01	2.307022e+02	6.479930e+01
55.5          	obstacle	4.169896e-02	9.055518e+01	3.846312e+01
56            	bottom	3.501979e-02	4.151207e+02	1.577453e+02
56            	frontAndBack	1.994814e-01	2.273620e+02	6.486702e+01
56            	obstacle	4.008007e-02	9.060660e+01	3.846493e+01
56.5          	bottom	2.355874e-02	4.155621e+02	1.577923e+02
56.5          	frontAndBack	2.414465e-01	2.278169e+02	6.481252e+01
56.5          	obstacle	2.696248e-02	9.005013e+01	3.837584e+01
57            	bottom	3.730862e-02	4.168312e+02	1.578112e+02
57            	frontAndBack	2.766028e-01	2.328121e+02	6.480067e+01
57            	obstacle	4.269977e-02	8.991203e+01	3.834783e+01
57.5          	bottom	2.765973e-02	4.176547e+02	1.577592e+02
57.5          	frontAndBack	2.141714e-01	2.306318e+02	6.482171e+01
57.5          	obstacle	3.165602e-02	8.986109e+01	3.834271e+01
58            	bottom	2.484695e-02	4.162899e+02	1.577377e+02
58            	frontAndBack	2.164702e-01	2.261181e+02	6.480425e+01
58            	obstacle	2.843685e-02	8.978407e+01	3.832519e+01
58.5          	bottom	4.456534e-02	4.160445e+02	1.577570e+02
58.5          	frontAndBack	2.931078e-01	2.295777e+02	6.480842e+01
58.5          	obstacle	5.100412e-02	8.983902e+01	3.838239e+01
59            	bottom	2.114733e-02	4.167896e+02	1.578193e+02
59            	frontAndBack	2.126993e-01	2.322495e+02	6.485820e+01
59            	obstacle	2.420270e-02	9.015204e+01	3.841008e+01
59.5          	bottom	3.125951e-02	4.160681e+02	1.578839e+02
59.5          	frontAndBack	3.039410e-01	2.282806e+02	6.488424e+01
59.5          	obstacle	3.577673e-02	9.047531e+01	3.841606e+01
60            	bottom	2.764712e-02	4.176304e+02	1.578164e+02
60            	frontAndBack	2.314344e-01	2.268032e+02	6.481276e+01
60            	obstacle	3.164240e-02	9.031167e+01	3.844426e+01
60.5          	bottom	4.574121e-02	4.166259e+02	1.577608e+02
60.5          	frontAndBack	2.631509e-01	2.312505e+02	6.488101e+01
60.5          	obstacle	5.235012e-02	9.006190e+01	3.840937e+01
61            	bottom	3.047062e-02	4.151675e+02	1.577653e+02
61            	frontAndBack	2.991154e-01	2.302023e+02	6.488950e+01
61            	obstacle	3.487366e-02	9.016854e+01	3.836731e+01
61.5          	bottom	4.661045e-02	4.159230e+02	1.578221e+02
61.5          	frontAndBack	2.403514e-01	2.262456e+02	6.499257e+01
61.5          	obstacle	5.334583e-02	9.010745e+01	3.842648e+01
62            	bottom	1.024985e-02	4.170100e+02	1.578322e+02
62            	frontAndBack	2.233281e-01	2.297957e+02	6.497420e+01
62            	obstacle	1.173106e-02	8.990163e+01	3.842559e+01
62.5          	bottom	1.723709e-02	4.166113e+02	1.577723e+02
62.5          	frontAndBack	2.671069e-01	2.308722e+02	6.500526e+01
62.5          	obstacle	1.972749e-02	8.977834e+01	3.832026e+01
63            	bottom	3.375570e-02	4.156825e+02	1.577549e+02
63            	frontAndBack	2.279388e-01	2.274865e+02	6.498598e+01
63            	obstacle	3.863328e-02	9.005392e+01	3.839056e+01
63.5          	bottom	3.626304e-02	4.159070e+02	1.577526e+02
63.5          	frontAndBack	2.212859e-01	2.281520e+02	6.494968e+01
63.5          	obstacle	4.150280e-02	9.003475e+01	3.845679e+01
64            	bottom	3.789115e-02	4.152432e+02	1.577015e+02
64            	frontAndBack	1.929125e-01	2.303362e+02	6.498143e+01
64            	obstacle	4.336561e-02	8.982180e+01	3.835121e+01
